"","qweek","gender","age","region","household_size","household_children","employment_status","WCRex1"
"3035","week 4","Female",21,"Banten","3","0","Full time student","Somewhat badly"
"3036","week 4","Female",25,"South Kalimantan","3","0","Part time employment","Very well"
"3037","week 4","Male",22,"Yogyakarta (Special Region)","4","1","Part time employment","Very well"
"3038","week 4","Male",43,"Central Java","4","2","Other","Very well"
"3039","week 4","Female",25,"North Sumatra","3","1","Part time employment","Don't know"
"3040","week 4","Male",18,"Jakarta (Special Capital Region)","5","2","Full time student","Somewhat well"
"3041","week 4","Male",26,"Jakarta (Special Capital Region)","Don't know","Prefer not to say","Full time employment","Don't know"
"3042","week 4","Female",24,"Jakarta (Special Capital Region)","3","0","Full time employment","Very badly"
"3043","week 4","Female",24,"Papua","6","3","Full time employment","Very well"
"3044","week 4","Female",46,"East Java","3","1","Full time employment","Very well"
"3045","week 4","Male",19,"West Java","5","2","Full time student","Somewhat well"
"3046","week 4","Male",20,"East Java","4","3","Full time employment","Very well"
"3047","week 4","Male",19,"Lampung","6","1","Part time employment","Somewhat badly"
"3048","week 4","Female",18,"Jakarta (Special Capital Region)","5","1","Full time student","Don't know"
"3049","week 4","Female",21,"North Sulawesi","5","2","Full time student","Don't know"
"3050","week 4","Male",20,"West Java","3","2","Full time employment","Very well"
"3051","week 4","Male",23,"East Java","5","0","Unemployed","Very well"
"3052","week 4","Female",21,"Yogyakarta (Special Region)","1","0","Full time student","Somewhat badly"
"3053","week 4","Female",23,"West Java","5","1","Full time employment","Don't know"
"3054","week 4","Female",29,"Jakarta (Special Capital Region)","2","0","Full time employment","Very well"
"3055","week 4","Male",59,"North Sumatra","4","1","Other","Don't know"
"3056","week 4","Female",59,"Jakarta (Special Capital Region)","3","0","Part time employment","Somewhat well"
"3057","week 4","Male",42,"South Sulawesi","5","3","Full time employment","Very well"
"3058","week 4","Female",25,"East Java","3","3","Part time employment","Don't know"
"3059","week 4","Male",39,"Jakarta (Special Capital Region)","4","2","Full time employment","Very well"
"3060","week 4","Female",56,"Gorontalo","3","1","Other","Don't know"
"3061","week 4","Male",40,"West Java","5","2","Not working","Very badly"
"3062","week 4","Male",41,"Bali","1","3","Part time employment","Very well"
"3063","week 4","Female",30,"Banten","5","1","Part time employment","Somewhat well"
"3064","week 4","Male",22,"Central Java","7","1","Full time student","Somewhat well"
"3065","week 4","Male",43,"South Kalimantan","5","3","Not working","Don't know"
"3066","week 4","Male",34,"South Sumatra","5","0","Full time employment","Don't know"
"3067","week 4","Male",28,"North Sumatra","3","0","Part time employment","Somewhat well"
"3068","week 4","Male",32,"Central Java","3","1","Part time employment","Somewhat well"
"3069","week 4","Male",30,"West Java","2","0","Full time employment","Don't know"
"3070","week 4","Male",27,"Banten","3","1","Full time employment","Somewhat well"
"3071","week 4","Male",42,"West Java","5","2","Full time employment","Don't know"
"3072","week 4","Male",32,"Banten","3","1","Full time employment","Very well"
"3073","week 4","Male",36,"West Java","3","1","Full time employment","Somewhat well"
"3074","week 4","Female",38,"West Java","3","1","Part time employment","Very well"
"3075","week 4","Female",21,"North Sumatra","Don't know","Don't know","Full time student","Don't know"
"3076","week 4","Female",20,"West Sumatra","5","3","Full time student","Don't know"
"3077","week 4","Male",25,"East Java","3","3","Full time employment","Very well"
"3078","week 4","Male",27,"Jakarta (Special Capital Region)","1","0","Full time employment","Very well"
"3079","week 4","Female",27,"Jakarta (Special Capital Region)","4","0","Not working","Somewhat badly"
"3080","week 4","Male",22,"West Java","1","2","Other","Don't know"
"3081","week 4","Male",21,"Central Java","4","3","Full time employment","Very well"
"3082","week 4","Male",38,"Central Java","5","2","Full time employment","Somewhat badly"
"3083","week 4","Female",29,"North Sulawesi","4","2","Full time employment","Somewhat badly"
"3084","week 4","Female",26,"Jakarta (Special Capital Region)","3","1","Part time employment","Very badly"
"3085","week 4","Female",23,"East Java","5","1","Part time employment","Somewhat well"
"3086","week 4","Male",21,"Jakarta (Special Capital Region)","6","1","Full time employment","Somewhat well"
"3087","week 4","Male",30,"East Java","3","2","Part time employment","Somewhat badly"
"3088","week 4","Male",27,"West Java","3","1","Not working","Somewhat well"
"3089","week 4","Male",38,"Jakarta (Special Capital Region)","4","2","Full time employment","Somewhat badly"
"3090","week 4","Female",34,"Banten","2","0","Full time employment","Very badly"
"3091","week 4","Female",21,"North Sumatra","Prefer not to say","Don't know","Full time student","Don't know"
"3092","week 4","Female",18,"Bali","6","0","Full time employment","Very well"
"3093","week 4","Male",33,"East Java","3","1","Full time employment","Somewhat badly"
"3094","week 4","Male",20,"Banten","8 or more","0","Unemployed","Somewhat badly"
"3095","week 4","Female",20,"East Java","4","0","Part time employment","Somewhat well"
"3096","week 4","Male",22,"Banten","1","0","Full time employment","Somewhat badly"
"3097","week 4","Male",24,"Jakarta (Special Capital Region)","6","0","Full time employment","Somewhat well"
"3098","week 4","Male",22,"Jakarta (Special Capital Region)","4","1","Full time employment","Don't know"
"3099","week 4","Female",26,"West Java","4","2","Part time employment","Very well"
"3100","week 4","Female",20,"South Sulawesi","6","1","Full time student","Somewhat badly"
