	alamat	judul								1st glance	2nd glance
1	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	Wakil Ketua Komisi II Tak Setuju Soal Kedatangan 500 TKA China								x (tdk nyambung)	
2	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	Kapolri Rotasi 569 Jabatan di Polri, Kepala BNPT Dijabat Boy Rafli								x	
3	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	LBH Pers Terima 59 Laporan Selama Pandemi, dari PHK Hingga Tunda Gaji								neg	
4	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	Kemensos Akui Data Penerima Bansos Belum Lengkap, Warga yang Sebelumnya Tak Butuh Jadi Butuh								x	
5	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	Lewat Medsos, Jokowi Ucapkan Selamat Hari Buruh 2020								x	
6	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	May Day di Tengah Pandemi, Buruh Ramai-ramai WhatsApp Anggota DPR Sampaikan Aspirasi								net	
7	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	1.591 Pasien Sembuh dari Covid-19, DKI Jakarta Terbanyak								pos	
8	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	Pemerintah Minta Masyarakat Beri Bantuan Tanpa Menimbulkan Kerumunan								pos	net
9	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	Ini Sebaran 800 Pasien Covid-19 yang Meninggal di 30 Provinsi								net	
10	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	Sebaran 433 Kasus Baru Covid-19: DKI Tetap Tertinggi, Disusul Jatim								net	
11	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	Hingga 1 Mei, Pemerintah Telah Periksa 102.305 Spesimen Terkait Covid-19								pos	
12	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	UPDATE 1 Mei 2020: Tambah 69 Orang, Pasien Sembuh Covid-19 Jadi 1.591								pos	
13	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	ODP dan PDP Covid-19 Terus Meningkat, Ini Datanya hingga 1 Mei								neg	
14	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	UPDATE 1 Mei: Tambah 8, Pasien Covid-19 Meninggal Dunia Jadi 800								neg	
15	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=1	UPDATE 1 Mei: Pasien Positif Covid-19 Mencapai 10.551								neg	
16	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Kapolda Kepri Ditunjuk Jadi Irjen Kemenkumham, Total 568 Perwira Polisi Dimutasi								x	
17	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Kemenparekraf Beri Kursus Bahasa Inggris Online Gratis untuk Pekerja Kreatif								x	
18	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Berkurang, Kasus Positif Covid-19 Dirawat di RS Darurat Wisma Atlet Jadi 737 Pasien								pos	
19	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	May Day, Puan Ingin RUU Cipta Kerja Tingkatkan Kesejahteraan Buruh								x	
20	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Buruh Minta Omnibus Law RUU Cipta Kerja Dibatalkan, Bukan Ditunda								x	
21	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Beri Anak dan Remaja Terhubung dengan Teman-temannya demi Kesehatan Jiwa Mereka								x	
22	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Serikat Buruh Desak Pemerintah Batalkan Kartu Prakerja, Rakyat Lebih Butuh Makan								x	
23	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	1.000 Psikiater Tersebar di Seluruh Indonesia, Layani Pendampingan Psikososial								x	
24	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Tips Jaga Kesehatan Jiwa di Tengah Pandemi: Pilah dan Batasi Konsumsi Informasi								net	
25	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Bawaslu: Bansos Covid-19 Ditempeli Foto Petahana, Indikasi Politisasi								x	
26	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	CEO Media Daring Berhasil Jadi Peserta Kartu Prakerja, Ini Penjelasan Pemerintah								x	
27	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Kapolri Mutasi Kadiv Humas Polri dan Sembilan Kapolda								x	
28	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Kapolri Mutasi Kepala BNPT, Suhardi Alius Digantikan Boy Rafli Amar								x	
29	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	May Day, Ketua DPR Puan Maharani Minta Pengusaha Tak PHK Buruh								x	
30	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=2	Korlantas Polri: Pemudik Kelabui Petugas dengan Mudik Pakai Truk								x	
31	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	Senin, Said Didu Bakal Diperiksa Polisi atas Laporan Menko Luhut								x	
32	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	Partai Koalisi Pemerintah Kritik Kartu Prakerja, Ini Tanggapan Istana								x	
33	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	Polisi Curi Pistol dari Gudang Amunisi, Kompolnas Minta Pengamanan Diperketat								x	
34	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	Menko Perekonomian: Sudah 9 Juta Orang Daftar Kartu Prakerja								x	
35	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	Pemerintah Ingatkan Masyarakat Tetap Patuhi Aturan PSBB								net	
36	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	Jumlah Pasien Covid-19 Meninggal Terbanyak Ada di DKI Jakarta dan Jawa Timur								neg	
37	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	UPDATE: Sebaran 10.118 Kasus Covid-19 di 34 Provinsi, 4.175 di Jakarta								net	
38	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	NA									
39	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	NA									
40	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	NA									
41	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	NA									
42	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	NA									
43	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	NA									
44	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	NA									
45	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=3	NA									
46	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
47	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
48	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
49	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
50	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
51	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
52	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
53	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
54	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
55	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
56	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
57	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
58	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
59	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
60	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=4	NA									
61	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
62	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
63	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
64	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
65	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
66	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
67	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
68	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
69	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
70	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
71	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
72	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
73	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
74	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
75	https://indeks.kompas.com/?site=nasional&date=2020-05-1&page=5	NA									
76	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	Jaga Fisik Setelah Sembuh dari Covid-19, Bima Arya Rajin Berolahraga								pos	
77	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	Di Tengah Pandemi Covid-19, Mensesneg Ajak Masyarakat Saling Membantu dengan Beli Produk								pos	
78	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	Ajak Pengusaha Bantu Warga Terdampak Covid-19, Anies: Bantuan Tak Selalu dari Negara								pos	
79	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	UPDATE 2 Mei: Data Sebaran 1.665 Pasien Sembuh dari Covid-19 di 34 Provinsi								net	
80	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	Mendikbud: Krisis Covid-19 Menyadarkan bahwa Belajar Bisa di Mana Saja								pos	
81	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	UPDATE 2 Mei: 31 Pasien Covid-19 Meninggal, Terbanyak di DKI Jakarta 								neg	
82	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	Jamin Kelancaran Arus Logistik, Pemerintah Harapkan Kerja Sama Semua Pihak								x	
83	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	Hingga 2 Mei, Pemerintah Periksa 107.943 Spesimen Terkait Covid-19								pos	
84	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	UPDATE 2 Mei: Data Penambahan 292 Kasus Covid-19 di 20 Provinsi								neg	
85	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	Bertambah, ODP Covid-19 Jadi 235.035 Orang dan PDP Jadi 22.545 Orang								neg	
86	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	UPDATE 2 Mei: Bertambah 74, Pasien Covid-19 Sembuh Jadi 1.665 orang								pos	
87	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	UPDATE 2 Mei: Total 831 Pasien Covid-19 yang Meninggal di Indonesia								neg	
88	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	UPDATE 2 Mei: Kasus Positif Covid-19 di Indonesia Mencapai 10.843								neg	
89	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	KPK Setor Rp 10,4 Miliar Rampasan dari Bowo Sidik ke Kas Negara								x	
90	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=1	UPDATE 2 Mei: WNI Positif Covid-19 di Luar Negeri 661 Orang, 223 Sembuh								net	
91	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Wali Kota Kendari Tutup Akses Kedatangan bagi Ratusan TKA dari China								x	
92	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Cerita Guru Saat Mengajar di Perbatasan Selama Pandemi Covid-19								net	
93	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Bupati Bogor Keluhkan soal Pabrik yang Masih Beroperasi Selama PSBB								neg	
94	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Bupati Bogor: Rata-rata Pasien Positif Covid-19 Bekerja di Jakarta								net	
95	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	34 Pasien Positif Covid-19 Dirawat di RS Darurat Pulau Galang								net	
96	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Ini Tugas Wapres Ma'ruf dalam Penanganan Pandemi Covid-19								pos	
97	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Pandemi Covid-19, Kemendikbud Minta Guru Pilih Materi Belajar yang Esensial								pos	
98	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	RS Darurat Wisma Atlet Tangani 724 Pasien Positif Covid-19 								net	
99	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Mensos Minta Masyarakat yang Dapat Bansos Lebih dari Satu Kali untuk Berbagi								x	
100	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Dampak Covid-19, Sebanyak 38.000 Pekerja Migran Diprediksi Akan Pulang ke Indonesia 								neg	
101	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	Konsultasi bagi Masyarakat yang Alami Kecemasan akibat Covid-19, Bisa Kontak Nomor Ini								pos	
102	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	NA									
103	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	NA									
104	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	NA									
105	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=2	NA									
106	https://indeks.kompas.com/?site=nasional&date=2020-05-2&page=3	NA									
