	alamat	judul	
1	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	Hari Buruh, KSPSI dan KSPI Sampaikan Hal Ini Ketika Bertemu Moeldoko	
2	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	UPDATE: Sebaran 4.512 Kasus Baru Covid-19, Tertinggi di DKI Jakarta	
3	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	UPDATE 1 Mei: 7.667.583 Masyarakat Sudah Divaksin Dosis Kedua, 12.443.263 Dosis Pertama	
4	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	UPDATE 1 Mei: 63.217 Spesimen Terkait Covid-19 Diperiksa dalam Sehari	
5	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	UPDATE: Ada 100.250 Kasus Aktif Covid-19 di Indonesia	
6	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	UPDATE: Ada 69.943 Kasus Suspek Terkait Covid-19 di Indonesia	
7	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	UPDATE: Bertambah 131, Kasus Kematian akibat Covid-19 Kini 45.652	
8	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	UPDATE: Bertambah 4.344, Jumlah Pasien Sembuh dari Covid-19 Mencapai 1.526.978	
9	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	UPDATE: Bertambah 4.512, Total Kasus Covid-19 di Indonesia Kini 1.672.880	
10	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	Moeldoko: Pemerintah Kawal Implementasi UU Cipta Kerja, Tak Pernah Abaikan Kesejahteraan Buruh	
11	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	Selasa Pekan Depan, Kadin Akan Sosialisasikan Vaksinasi Gotong Royong	
12	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	Pemerintah Diminta Kaji Kembali Pemberian Label Teroris terhadap KKB di Papua	
13	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	Kadin Berharap Vaksinasi Gotong Royong Dimulai pada 9 Mei 2021	
14	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	547 Kendaraan Dinas yang Diserahkan KSAD Gunakan Warna Cat Baru	
15	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=1	Serahkan 547 Kendaraan Dinas Baru, KSAD: Ini Pengadaan Terbesar	
16	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Soal Vaksinasi Gotong Royong, Kadin Masih Tunggu Harga Sinopharm dari Bio Farma	
17	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	KSAD Bagikan 547 Kendaraan Dinas Baru, Ada Land Cruiser Prado hingga Pajero	
18	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Kapokja dan Kasubpokja Resmi Dilantik, Begini Pesan Kepala BRGM	
19	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Ada Klaster Shalat Tarawih di Banyumas, Epidemiolog Nilai Pembatasan Pemerintah Tak Efektif	
20	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	UPDATE: 4.450 WNI Terpapar Covid-19 di Luar Negeri, Bertambah 7 di 3 Negara	
21	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	5 Poin UU Cipta Kerja yang Dinilai Rugikan Buruh	
22	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Ditanya soal Kapan Periksa Azis Syamsuddin, KPK: Semua yang Mengetahui Akan Kami Panggil	
23	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Polri: Banyak Kasus Penipuan Investasi Terungkap Saat Pandemi Covid-19	
24	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Bio Farma Siapkan hingga 18 Juta Vaksin Jadi Covid-19, Mei Ini	
25	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Berdiskusi dengan Megawati, Menag Yaqut: Berjam-jam Pun Terasa Sebentar	
26	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Ucapkan Selamat Hari Buruh, Jokowi: Buruh Aset Besar Bangsa Kita	
27	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Kedatangan Vaksin Sinopharm, Izin Darurat, dan Rencana Vaksinasi Gotong Royong	
28	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Pemerintah Perketat Pengawasan Penggunaan Alat Rapid Test Antigen	
29	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Demo May Day di Istana dan MK, Ini Tuntutan Massa Buruh	
30	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=2	Jokowi Teken Perpres, Kemendikbud-Ristek serta Kementerian Investasi Resmi Masuk Susunan Kementerian Negara	
31	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	"Demo di Istana dan Gedung MK, Massa Buruh Akan Buat ""Kuburan Massal Korban Omnibus Law"""	
32	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	Besaran Insentif untuk Dokter Spesialis, PPDS, hingga Perawat Menurut Kemenkes	
33	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	Hari Buruh, Puan Klaim DPR Konsisten Perjuangkan Aspirasi Buruh	
34	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	51 Guru Besar Minta MK Kabulkan Permohonan Uji Materi UU KPK	
35	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	Babak Baru Kasus Suap Penyidik KPK, Azis Syamsuddin Dicegah ke Luar Negeri	
36	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	Antiklimaks Usulan Jokowi untuk Revisi UU ITE...	
37	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
38	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
39	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
40	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
41	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
42	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
43	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
44	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
45	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=3	NA	
46	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
47	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
48	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
49	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
50	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
51	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
52	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
53	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
54	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
55	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
56	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
57	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
58	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
59	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
60	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=4	NA	
61	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
62	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
63	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
64	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
65	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
66	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
67	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
68	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
69	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
70	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
71	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
72	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
73	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
74	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
75	https://indeks.kompas.com/?site=nasional&date=2021-5-1&page=5	NA	
76	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Video Penangkapan Munarman Dinilai Menampilkan Kesan Polisi Arogan	
77	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Ketua Komisi X Nilai Penggabungan Kemendikbud Risti Jadi Tantangan Penyelenggaraan Pendidikan	
78	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Revisi UU KPK Dinilai Timbulkan Krisis Integritas dan Demoralisasi di KPK	
79	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Hasto: Kerja Sama PDI-P dengan PAN-Pemuda Muhammadiyah Punya Legitimasi Historis dan Ideologis	
80	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Penangkapan Munarman Dinilai Beri Efek Gentar ke Kelompok Ekstremisme	
81	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Cerita Jokowi Saat Masih Jadi Siswa: Saya Tak Mau Kalah	
82	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Jokowi: Jangan Optimisme Berlebihan, Situasi Covid-19 Belum Aman	
83	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Jokowi: Pendidikan Harus Memerdekakan Manusia	
84	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Trenggono Dorong Probolinggo Jadi Sentra Ekonomi Perikanan di Jatim	
85	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	UPDATE: Sebaran 4.394 Kasus Baru Covid-19, Tertinggi di DKI Jakarta	
86	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	UPDATE 2 Mei: 39.958 Spesimen Terkait Covid-19 Diperiksa dalam Sehari	
87	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	Update 2 Mei: Kasus Aktif Covid-19 di Indonesia 100.760 Orang	
88	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	UPDATE 2 Mei: 7.669.325 Masyarakat Sudah Divaksin Dosis Kedua, 12.466.753 Dosis Pertama	
89	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	UPDATE 2 Mei: Ada 73.065 Kasus Suspek Terkait Covid-19 di Indonesia	
90	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=1	UPDATE: Tambah 144 Orang, Total Pasien Covid-19 Meninggal Ada 45.796	
91	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	UPDATE: Bertambah 3.740, Pasien Sembuh Covid-19 Kini 1.530.718 Orang 	
92	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	UPDATE: Bertambah 4.394, Total Kasus Covid-19 Indonesia Capai 1.677.274	
93	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Gebrak: Buruh Terima Ancaman Jauh Sebelum Pelaksanaan Aksi May Day	
94	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Soal Alat Rapid Test Antigen Bekas, Menko PMK: Jangan Ada Kasus Serupa	
95	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Kuasa Hukum Sebut Cara Penangkapan Munarman Rendahkan Hak dan Martabat	
96	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Pemerintah Diminta Tak Gegabah Pakai UU Terorisme untuk Atasi KKB di Papua	
97	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Kuasa Hukum: Cara Penangkapan Munarman Tak Junjung Tinggi HAM	
98	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Dikait-kaitkan dengan PAN, Ketum Partai Ummat: Silakan Bersaing Sehat	
99	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Dinilai Belum Optimal, Ini Catatan FSGI soal Penyelenggaraan Pendidikan di Masa Pandemi	
100	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Penangkapan Munarman Dinilai Pintu Masuk Polri Bersihkan Anasir Ekstremisme 	
101	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Baru Deklarasi, Partai Ummat Targetkan Raih Suara 2 Digit di Pemilu 2024 	
102	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Degradasi Pemberantasan Korupsi, 51 Profesor Minta MK Kabulkan Uji Materi UU KPK	
103	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	Ridho Rahmadi Kaget Ditunjuk Jadi Ketum Partai Ummat, Bermula Urus TI	
104	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	UPDATE: 4.452 WNI Terpapar Covid-19 di Luar Negeri, Tambah 2 di 2 Negara	
105	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=2	May Day 2021 dan Keresahan Para Buruh: dari Upah hingga Outsourcing	
106	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	Pemerintah Diminta Realokasi Anggaran THR Pejabat agar THR ASN Diberikan secara Penuh	
107	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	Kehadiran Partai Ummat, Didirikan Amien Rais dan Dipimpin Ketum Termuda	
108	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	1.672.880 Kasus Covid-19 Indonesia dan Rencana Sosialisasi Vaksin Gotong Royong	
109	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	Kemendikbud Ristek Diminta Cermati Angka Putus Sekolah dan Efektivitas PJJ	
110	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
111	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
