Tg_survey	Surv	Pos_news	N_infect	N_vax
11.05.2020	66	37.33	233	0
18.05.2020	60	37.14	496	0
25.05.2020	50	31.34	479	0
01.06.2020	57	37.35	467	0
08.06.2020	60	36.9	847	0
15.06.2020	57	34.92	1017	0
22.06.2020	61	27.16	954	0
29.06.2020	60	31.75	1082	0
20.07.2020	58	38.46	1693	0
03.08.2020	65	28.26	1679	0
17.08.2020	65	40	1821	0
31.08.2020	66	18.51	2743	0
14.09.2020	55	25.3	3141	0
28.09.2020	59	33.87	3509	0
12.10.2020	54	34.09	3267	0
26.10.2020	59	34.04	3222	0
09.11.2020	65	30.23	2853	0
23.11.2020	64	34.55	4442	0
07.12.2020	60	26.74	5754	0
21.12.2020	61	48.68	6848	0
03.01.2021	59	37.1	6877	0
17.01.2021	64	22.66	11287	0
31.01.2021	63	28.05	12001	493133
14.02.2021	64	40.68	6765	1068747
28.02.2021	67	34.44	5560	1691724
14.03.2021	69	41.38	4714	4020124
28.03.2021	72	36.51	4083	7435851
11.04.2021	72	39.22	4127	10280073
25.04.2021	72	36.84	4402	11741559
09.05.2021	67	38.46	3922	13349469
23.05.2021	70	31.67	5280	14909734
06.06.2021	69	31.71	5832	17643603
20.06.2021	66	17.02	13737	23043372
04.07.2021	57	30.82	27233	32063745
18.07.2021	51	29.69	44721	41673464
28.07.2021	55	31.65	47791	45734912
11.08.2021	57	26.21	30625	52373483
25.08.2021	67	38.04	18671	59011333
12.09.2021	68	34.85	3779	72766195
